Date,Operator,A/C Type,Location,Crew on board,Crew fatalities,PAX on board,PAX fatalities,Total on board,Total fatalities,Flight Type,Flight Phase,Continent,Year,Probable Causes
13-Sep-31,DEUTSCHE LUFTHANSA,Junkers W.33,"Atlantic Ocean, All World",3,0,0,0,3,0,Postal,Flight,South America,1931,Human Errors
9-Dec-31,L'AEROPOSTALE,CAMS 56,"Mediterranean Sea, All World",2,2,0,0,2,2,Postal,Flight,Africa,1931,Technical Factors
4-Jun-32,Private Prive,Bellanca CH-300 Pacemaker,"Atlantic Ocean, All World",1,0,0,0,1,0,Private,Flight,Europe,1932,Technical Factors
28-Jan-33,Private Prive,De Havilland DH.83 Fox Moth,"North Sea, All World",1,1,1,1,2,2,Delivery,Flight,Europe,1933,Disappeared Without Trace
18-Jul-33,AERO ESPRESSO ITALIANA,CMASA Wal,"Aegean Sea, All World",4,4,2,2,6,6,Scheduled Revenue Flight,Flight,Europe,1933,Disappeared Without Trace
9-May-34,AIRFRANCE,Wibault 282,"The Channel, All World",3,3,3,3,6,6,Scheduled Revenue Flight,Flight,Europe,1934,Poor Weather
11-May-35,Commercial Air Hire,Spartan Cruiser,"The Channel, All World",2,0,0,0,2,0,Cargo,Flight,Europe,1935,Technical Factors
21-May-35,United States NAVY,Martin PM-1,"Pacific Ocean, All World",6,6,0,0,6,6,Military,Flight,Unknown,1935,Disappeared Without Trace
10-Feb-36,AIRFRANCE,Latécoére 301,"Atlantic Ocean, All World",5,5,1,1,6,6,Scheduled Revenue Flight,Flight,Unknown,1936,Poor Weather
15-Feb-36,DEUTSCHE LUFTHANSA,Dornier DO J wal,"Atlantic Ocean, All World",4,4,0,0,4,4,Postal,Flight,Unknown,1936,Disappeared Without Trace
8-May-36,AIRFRANCE,Lioré-et-Olivier LeO H-242,"Mediterranean Sea, All World",4,0,4,1,8,1,Scheduled Revenue Flight,Flight,Africa,1936,Technical Factors
25-Sep-36,Imperial Airways,Boulton & Paul P.71,"The Channel, All World",2,2,0,0,2,2,Postal,Flight,Europe,1936,Unknown Reasons
7-Dec-36,AIRFRANCE,Latécoére 300,"Atlantic Ocean, All World",5,5,0,0,5,5,Scheduled Revenue Flight,Flight,Unknown,1936,Technical Factors
23-Mar-37,Private Prive,De Havilland DH.60 Moth,"North Sea, All World",1,1,0,0,1,1,Private,Flight,Europe,1937,Unknown Reasons
2-Jul-37,Private Prive,Lockheed 10 Electra,"Pacific Ocean, All World",2,2,0,0,2,2,Private,Flight,Australia & Oceania,1937,Technical Factors
11-Jan-38,PAN AM,Sikorsky S-42,"Pacific Ocean, All World",7,7,0,0,7,7,Postal,Flight,Australia & Oceania,1938,Technical Factors
13-Feb-38,Ala Littoria,CRDA CANT Z.506,"Mediterranean Sea, All World",4,4,10,10,14,14,Scheduled Revenue Flight,Flight,Europe,1938,Poor Weather
6-Apr-38,Royal Air Force,Avro 652 Anson,"North Sea, All World",3,3,0,0,3,3,Training,Flight,Europe,1938,Technical Factors
14-Jul-38,Ala Littoria,Savoia-Marchetti S.66,"Tyrrhenian Sea, All World",4,4,16,16,20,20,Scheduled Revenue Flight,Flight,Europe,1938,Human Errors
29-Jul-38,PAN AM,Martin M.130,"Pacific Ocean, All World",9,9,6,6,15,15,Scheduled Revenue Flight,Flight,Unknown,1938,Human Errors
21-Jan-39,Imperial Airways,Short S.23 Empire Flying Boat,"Atlantic Ocean, All World",5,1,8,2,13,3,Scheduled Revenue Flight,Flight,North America,1939,Technical Factors
15-Jul-39,United States Coast Guard,Naval Aircraft Factory PH-2,"Atlantic Ocean, All World",8,3,0,0,8,3,Survey / Patrol / Reconnaissance,Flight,North America,1939,Unknown Reasons
9-Aug-39,Royal Air Force,Vickers 290 Wellington I,"North Sea, All World",3,3,0,0,3,3,Survey / Patrol / Reconnaissance,Flight,Europe,1939,Disappeared Without Trace
2-Oct-39,Royal Air Force,Armstrong Whitworth AW.38 Whitley,"North Sea, All World",5,5,0,0,5,5,Bombing,Flight,Europe,1939,Disappeared Without Trace
14-Oct-39,Royal Air Force,Avro 652 Anson,"The Channel, All World",0,0,0,0,0,0,Survey / Patrol / Reconnaissance,Flight,Europe,1939,Disappeared Without Trace
25-Oct-39,Royal Air Force,Armstrong Whitworth AW.38 Whitley,"North Sea, All World",5,5,0,0,5,5,Bombing,Flight,Europe,1939,Disappeared Without Trace
1-Dec-39,Royal Air Force,Avro 652 Anson,"Atlantic Ocean, All World",5,5,0,0,5,5,Training,Flight,Europe,1939,Disappeared Without Trace
6-Dec-39,Royal Air Force,Avro 652 Anson,"North Sea, All World",4,4,0,0,4,4,Survey / Patrol / Reconnaissance,Flight,Europe,1939,Conflict Factors
18-Dec-39,Royal Air Force,Vickers 408 Wellington IA,"North Sea, All World",5,5,0,0,5,5,Survey / Patrol / Reconnaissance,Flight,Europe,1939,Conflict Factors
18-Dec-39,Royal Air Force,Vickers 408 Wellington IA,"North Sea, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,Europe,1939,Conflict Factors
18-Dec-39,Royal Air Force,Vickers 408 Wellington IA,"North Sea, All World",5,1,0,0,5,1,Survey / Patrol / Reconnaissance,Flight,Europe,1939,Conflict Factors
2-Jan-40,Royal Air Force,Vickers 408 Wellington IA,"North Sea, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,Europe,1940,Conflict Factors
2-Jan-40,Royal Air Force,Vickers 408 Wellington IA,"North Sea, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,Europe,1940,Conflict Factors
21-Feb-40,Royal Air Force,Vickers 408 Wellington IA,"North Sea, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,Europe,1940,Disappeared Without Trace
1-Mar-40,Imperial Airways,Handley Page H.P.42,"Gulf of Oman, All World",4,4,4,4,8,8,Scheduled Revenue Flight,Flight,Asia,1940,Crashing The Other Objects
27-Mar-40,Royal Air Force,Avro 652 Anson,"The Channel, All World",4,4,0,0,4,4,Training,Flight,Europe,1940,Human Errors
7-Apr-40,Royal Air Force,Vickers 408 Wellington IA,"North Sea, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,Europe,1940,Conflict Factors
7-Apr-40,Royal Air Force,Vickers 408 Wellington IA,"North Sea, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,Europe,1940,Conflict Factors
12-Apr-40,Royal Air Force,Armstrong Whitworth AW.38 Whitley,"North Sea, All World",5,5,0,0,5,5,Survey / Patrol / Reconnaissance,Flight,Europe,1940,Disappeared Without Trace
18-Apr-40,Royal Air Force,Vickers 408 Wellington IA,"North Sea, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,Europe,1940,Disappeared Without Trace
18-Apr-40,Royal Air Force,Armstrong Whitworth AW.38 Whitley,"North Sea, All World",5,1,0,0,5,1,Survey / Patrol / Reconnaissance,Flight,Europe,1940,Human Errors
23-Apr-40,Royal Air Force,Armstrong Whitworth AW.38 Whitley,"North Sea, All World",5,5,0,0,5,5,Bombing,Flight,Europe,1940,Disappeared Without Trace
30-Apr-40,Royal Air Force,Vickers 416 Wellington IC,"North Sea, All World",6,6,0,0,6,6,Bombing,Flight,Europe,1940,Disappeared Without Trace
30-Apr-40,Royal Air Force,Armstrong Whitworth AW.38 Whitley,"North Sea, All World",5,5,0,0,5,5,Bombing,Flight,Europe,1940,Disappeared Without Trace
19-May-40,Royal Air Force,Armstrong Whitworth AW.38 Whitley,"North Sea, All World",5,0,0,0,5,0,Bombing,Flight,Europe,1940,Conflict Factors
29-May-40,Royal Air Force,Avro 652 Anson,"North Sea, All World",4,4,0,0,4,4,Military,Flight,Europe,1940,Technical Factors
11-Jun-40,Royal Air Force,Vickers 416 Wellington IC,"North Sea, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,Europe,1940,Unknown Reasons
22-Jun-40,Royal Air Force,Vickers 416 Wellington IC,"North Sea, All World",6,0,0,0,6,0,Bombing,Flight,Europe,1940,Conflict Factors
12-Jul-40,Royal Air Force,Vickers 416 Wellington IC,"North Sea, All World",6,6,0,0,6,6,Bombing,Flight,Europe,1940,Disappeared Without Trace
31-Aug-40,Royal Air Force,Blackburn B-26 Botha,"North Sea, All World",4,4,0,0,4,4,Training,Landing,Europe,1940,Disappeared Without Trace
9-Sep-40,Royal Air Force,Vickers 416 Wellington IC,"North Sea, All World",6,6,0,0,6,6,Bombing,Flight,Europe,1940,Disappeared Without Trace
12-Sep-40,Royal Air Force,Avro 652 Anson,"Celtic Sea, All World",5,5,0,0,5,5,Survey / Patrol / Reconnaissance,Flight,Europe,1940,Unknown Reasons
28-Sep-40,Royal Air Force,Vickers 416 Wellington IC,"North Sea, All World",6,3,0,0,6,3,Bombing,Flight,Europe,1940,Unknown Reasons
24-Oct-40,Royal Air Force,Vickers 416 Wellington IC,"North Sea, All World",6,6,0,0,6,6,Bombing,Flight,Europe,1940,Disappeared Without Trace
14-Nov-40,Royal Air Force,Armstrong Whitworth AW.38 Whitley,"North Sea, All World",5,5,0,0,5,5,Bombing,Flight,Europe,1940,Disappeared Without Trace
27-Nov-40,AIRFRANCE,Farman NC.223,"Mediterranean Sea, All World",5,5,1,1,6,6,Postal,Flight,Europe,1940,Conflict Factors
10-Jan-41,LATI,Savoia-Marchetti SM.83,"Mediterranean Sea, All World",4,4,12,12,16,16,Scheduled Revenue Flight,Flight,Unknown,1941,Disappeared Without Trace
15-Jan-41,LATI,Savoia-Marchetti SM.75,"Atlantic Ocean, All World",4,4,6,6,10,10,Scheduled Revenue Flight,Flight,South America,1941,Technical Factors
21-Feb-41,Royal Air Force,Saro A.36 Lerwick,"Atlantic Ocean, All World",14,14,0,0,14,14,Survey / Patrol / Reconnaissance,Flight,Europe,1941,Disappeared Without Trace
21-Jun-41,Manchurian Airlines,Mitsubishi MC-20,"Japan Sea, All World",3,3,15,15,18,18,Scheduled Revenue Flight,Flight,Asia,1941,Disappeared Without Trace
6-Jul-41,Royal Air Force,Bristol 130 Bombay,"Mediterranean Sea, All World",0,0,0,0,0,0,Military,Flight,Europe,1941,Technical Factors
