Date,Operator,A/C Type,Location,Crew on board,Crew fatalities,PAX on board,PAX fatalities,Total on board,Total fatalities,Flight Type,Flight Phase,Continent,Year,Probable Causes
3-Aug-43,United States NAVY,Martin PBM Mariner,"Atlantic Ocean, All World",12,12,0,0,12,12,Bombing,Flight,South America,1943,Conflict Factors
4-Aug-43,Royal Air Force,Short S.25 Sunderland,"Atlantic Ocean, All World",11,5,0,0,11,5,Bombing,Flight,Europe,1943,Conflict Factors
15-Aug-43,Air Force,Lockheed L-414 Hudson,"Arafura Sea, All World",4,4,0,0,4,4,Survey / Patrol / Reconnaissance,Flight,Australia & Oceania,1943,Conflict Factors
15-Aug-43,United States AAF,Consolidated B-24 Liberator,"Solomon Sea, All World",11,11,0,0,11,11,Survey / Patrol / Reconnaissance,Flight,Australia & Oceania,1943,Conflict Factors
23-Aug-43,Royal Canadian Air Force,Avro 652 Anson,"Pacific Ocean, All World",3,0,0,0,3,0,Training,Flight,North America,1943,Technical Factors
24-Aug-43,Royal Air Force,Consolidated B-24 Liberator,"Bay of Bengal, All World",8,8,0,0,8,8,Survey / Patrol / Reconnaissance,Flight,Asia,1943,Disappeared Without Trace
27-Aug-43,AB Aerotransport,Douglas DC-3,"North Sea, All World",4,4,3,3,7,7,Scheduled Revenue Flight,Flight,Europe,1943,Conflict Factors
2-Sep-43,Royal Air Force,Consolidated B-24 Liberator,"Bay of Biscay, All World",0,0,0,0,0,0,Survey / Patrol / Reconnaissance,Flight,Europe,1943,Conflict Factors
2-Sep-43,Royal Air Force,Consolidated B-24 Liberator,"Bay of Biscay, All World",8,8,0,0,8,8,Survey / Patrol / Reconnaissance,Flight,Europe,1943,Conflict Factors
10-Sep-43,United States AAF,Boeing B-17 Flying Fortress,"Gulf of Mexico, All World",11,11,0,0,11,11,Training,Flight,North America,1943,Human Errors
10-Sep-43,United States AAF,Boeing B-17 Flying Fortress,"Gulf of Mexico, All World",11,11,0,0,11,11,Training,Flight,North America,1943,Human Errors
22-Sep-43,Royal Air Force,Consolidated B-24 Liberator,"Bay of Bengal, All World",8,8,0,0,8,8,Survey / Patrol / Reconnaissance,Flight,Asia,1943,Conflict Factors
2-Oct-43,United States NAVY,Consolidated PBY-5A Catalina,"Gulf of Mexico, All World",9,9,0,0,9,9,Survey / Patrol / Reconnaissance,Flight,North America,1943,Disappeared Without Trace
6-Oct-43,United States AAF,Consolidated B-24 Liberator,"Pacific Ocean, All World",10,10,0,0,10,10,Training,Flight,North America,1943,Disappeared Without Trace
6-Oct-43,United States NAVY,Martin PBM Mariner,"Caribbean Sea, All World",10,10,0,0,10,10,Survey / Patrol / Reconnaissance,Flight,North America,1943,Disappeared Without Trace
15-Oct-43,Air Force,Lockheed L-414 Hudson,"Arafura Sea, All World",5,5,0,0,5,5,Survey / Patrol / Reconnaissance,Flight,Australia & Oceania,1943,Disappeared Without Trace
19-Oct-43,Royal Air Force,Martin B-26 Marauder,"Adriatic Sea, All World",6,5,0,0,6,5,Survey / Patrol / Reconnaissance,Flight,Europe,1943,Technical Factors
20-Oct-43,United States AAF,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",6,6,8,8,14,14,Military,Flight,North America,1943,Disappeared Without Trace
24-Oct-43,United States AAF,Consolidated B-24 Liberator,"Tyrrhenian Sea, All World",8,8,0,0,8,8,Military,Flight,Europe,1943,Disappeared Without Trace
6-Nov-43,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",9,9,0,0,9,9,Military,Flight,North America,1943,Disappeared Without Trace
10-Nov-43,Royal Air Force,Short S.25 Sunderland,"Bay of Biscay, All World",8,8,4,4,12,12,Military,Flight,Europe,1943,Conflict Factors
17-Nov-43,United States NAVY,Consolidated PBY-5A Catalina,"Gulf of Mexico, All World",8,8,0,0,8,8,Survey / Patrol / Reconnaissance,Flight,North America,1943,Technical Factors
18-Nov-43,Royal Air Force,Avro 683 Lancaster,"Bay of Biscay, All World",7,7,0,0,7,7,Military,Flight,Europe,1943,Conflict Factors
20-Nov-43,Royal Canadian Air Force,Short S.25 Sunderland,"Atlantic Ocean, All World",11,11,0,0,11,11,Bombing,Flight,Europe,1943,Disappeared Without Trace
22-Nov-43,Royal Air Force,Consolidated PBY-5A Catalina,"Atlantic Ocean, All World",9,9,0,0,9,9,Training,Flight,Unknown,1943,Disappeared Without Trace
9-Dec-43,Marineluchtvaartdienst,Consolidated PBY-5A Catalina,"Bay of Bengal, All World",11,0,0,0,11,0,Survey / Patrol / Reconnaissance,Flight,Asia,1943,Technical Factors
19-Dec-43,Royal Air Force,Short S.25 Sunderland,"Atlantic Ocean, All World",19,19,0,0,19,19,Military,Flight,Europe,1943,Disappeared Without Trace
24-Dec-43,Royal Air Force,Short S.25 Sunderland,"Bay of Biscay, All World",12,12,9,9,21,21,Survey / Patrol / Reconnaissance,Flight,Europe,1943,Conflict Factors
25-Dec-43,Royal Air Force,Douglas DC-3,"Atlantic Ocean, All World",4,4,0,0,4,4,Military,Flight,Europe,1943,Disappeared Without Trace
27-Dec-43,United States NAVY,Douglas DC-3,"Coral Sea, All World",3,3,21,21,24,24,Military,Flight,Unknown,1943,Disappeared Without Trace
30-Dec-43,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",6,6,0,0,6,6,Military,Flight,Australia & Oceania,1943,Disappeared Without Trace
6-Jan-44,Royal Air Force,Short S.25 Sunderland,"Atlantic Ocean, All World",11,11,0,0,11,11,Survey / Patrol / Reconnaissance,Flight,Europe,1944,Conflict Factors
8-Feb-44,Royal Air Force,Martin B-26 Marauder,"Mediterranean Sea, All World",0,0,0,0,0,0,Military,Flight,Unknown,1944,Disappeared Without Trace
12-Feb-44,United States NAVY,Consolidated PBY-5A Catalina,"Gulf of Mexico, All World",5,0,0,0,5,0,Survey / Patrol / Reconnaissance,Flight,North America,1944,Human Errors
16-Feb-44,United States NAVY,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",2,2,12,12,14,14,Military,Flight,North America,1944,Disappeared Without Trace
27-Feb-44,MLKNIL,North American B-25 Mitchell,"Pacific Ocean, All World",4,3,0,0,4,3,Military,Flight,Unknown,1944,Human Errors
17-Mar-44,Royal Canadian Air Force,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",2,2,0,0,2,2,Military,Flight,North America,1944,Disappeared Without Trace
25-Mar-44,United States AAF,Douglas C-54 Skymaster,"Atlantic Ocean, All World",6,6,0,0,6,6,Military,Flight,Europe,1944,Conflict Factors
1-Apr-44,Royal Air Force,Lockheed PV-1 Ventura,"Mediterranean Sea, All World",5,5,0,0,5,5,Survey / Patrol / Reconnaissance,Flight,Africa,1944,Conflict Factors
2-Apr-44,United States AAF,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",5,5,0,0,5,5,Military,Flight,North America,1944,Disappeared Without Trace
6-Apr-44,United States NAVY,Consolidated PBY-5A Catalina,"Caribbean Sea, All World",3,0,27,16,30,16,Military,Flight,North America,1944,Technical Factors
15-Apr-44,United States AAF,Douglas C-47 Skytrain (DC-3),"Atlantic Ocean, All World",0,0,0,0,0,0,Military,Flight,South America,1944,Disappeared Without Trace
30-Apr-44,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",8,3,0,0,8,3,Military,Landing,Unknown,1944,Unknown Reasons
10-May-44,United States AAF,Consolidated B-24 Liberator,"Pacific Ocean, All World",10,10,0,0,10,10,Military,Flight,Australia & Oceania,1944,Disappeared Without Trace
15-May-44,Swedish Air Force,Caproni Ca.133,"Baltic Sea, All World",4,4,0,0,4,4,Survey / Patrol / Reconnaissance,Flight,Europe,1944,Conflict Factors
21-May-44,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",8,6,0,0,8,6,Military,Flight,Unknown,1944,Technical Factors
23-May-44,Swedish Air Force,Caproni Ca.133,"Baltic Sea, All World",4,4,0,0,4,4,Survey / Patrol / Reconnaissance,Flight,Europe,1944,Conflict Factors
24-May-44,Royal Canadian Air Force,Short S.25 Sunderland,"Norwegian Sea, All World",12,12,0,0,12,12,Survey / Patrol / Reconnaissance,Flight,Europe,1944,Conflict Factors
6-Jun-44,United States AAF,Douglas C-53 Skytrooper (DC-3),"The Channel, All World",4,0,0,0,4,0,Military,Flight,Europe,1944,Human Errors
7-Jun-44,United States AAF,Douglas C-47 Skytrain (DC-3),"The Channel, All World",4,0,0,0,4,0,Supply,Flight,Europe,1944,Conflict Factors
7-Jun-44,United States AAF,Douglas C-47 Skytrain (DC-3),"The Channel, All World",5,2,2,0,7,2,Supply,Flight,Europe,1944,Disappeared Without Trace
8-Jun-44,United States AAF,Consolidated B-24 Liberator,"The Channel, All World",10,5,0,0,10,5,Bombing,Flight,Europe,1944,Unknown Reasons
12-Jun-44,Royal Air Force,Short S.25 Sunderland,"Bay of Biscay, All World",11,11,0,0,11,11,Survey / Patrol / Reconnaissance,Flight,Europe,1944,Conflict Factors
12-Jun-44,Royal Air Force,Short S.25 Sunderland,"Bay of Biscay, All World",12,12,0,0,12,12,Survey / Patrol / Reconnaissance,Flight,Europe,1944,Conflict Factors
13-Jun-44,Royal Canadian Air Force,Canadian Vickers PBV-1 Canso (OA-10 Canso),"Norwegian Sea, All World",5,1,0,0,5,1,Bombing,Flight,Europe,1944,Conflict Factors
16-Jun-44,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",7,7,0,0,7,7,Survey / Patrol / Reconnaissance,Flight,North America,1944,Poor Weather
21-Jun-44,United States NAVY,Martin PBM Mariner,"Pacific Ocean, All World",12,12,0,0,12,12,Survey / Patrol / Reconnaissance,Flight,Unknown,1944,Conflict Factors
24-Jun-44,Royal Canadian Air Force,Consolidated Canso,"Norwegian Sea, All World",3,3,0,0,3,3,Bombing,Flight,Europe,1944,Conflict Factors
24-Jul-44,United States AAF,Martin B-26 Marauder,"Gulf of Mexico, All World",6,6,0,0,6,6,Survey / Patrol / Reconnaissance,Flight,North America,1944,Disappeared Without Trace
26-Jul-44,United States AAF,Douglas C-54 Skymaster,"Atlantic Ocean, All World",6,6,20,20,26,26,Military,Flight,Unknown,1944,Disappeared Without Trace
13-Aug-44,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",4,4,0,0,4,4,Survey / Patrol / Reconnaissance,Flight,Unknown,1944,Disappeared Without Trace
14-Aug-44,Royal Air Force,Douglas C-47 Skytrain (DC-3),"Atlantic Ocean, All World",0,0,0,0,0,0,Delivery,Flight,South America,1944,Technical Factors
20-Aug-44,Air Force,Lockheed L-414 Hudson,"Pacific Ocean, All World",7,7,0,0,7,7,Military,Flight,Australia & Oceania,1944,Technical Factors
20-Aug-44,Air Force,Lockheed L-414 Hudson,"Pacific Ocean, All World",7,7,0,0,7,7,Military,Flight,Australia & Oceania,1944,Poor Weather
21-Aug-44,United States AAF,Douglas C-47 Skytrain (DC-3),"Atlantic Ocean, All World",6,6,2,2,8,8,Military,Flight,Europe,1944,Poor Weather
5-Sep-44,United States NAVY,Martin PBM Mariner,"Pacific Ocean, All World",4,4,0,0,4,4,Ferry,Flight,Australia & Oceania,1944,Technical Factors
18-Sep-44,Royal Air Force,Douglas C-47 Skytrain (DC-3),"North Sea, All World",4,4,0,0,4,4,Military,Flight,Europe,1944,Disappeared Without Trace
18-Sep-44,United States AAF,Douglas C-47 Skytrain (DC-3),"North Sea, All World",4,0,0,0,4,0,Supply,Flight,Europe,1944,Conflict Factors
4-Oct-44,Royal Air Force,Consolidated B-24 Liberator,"North Sea, All World",9,9,0,0,9,9,Bombing,Flight,Europe,1944,Conflict Factors
15-Oct-44,United States NAVY,Consolidated PBY-5A Catalina,"Atlantic Ocean, All World",7,7,0,0,7,7,Survey / Patrol / Reconnaissance,Flight,Unknown,1944,Disappeared Without Trace
15-Oct-44,AEROFLOT,Douglas C-47 Skytrain (DC-3),"Baltic Sea, All World",5,5,2,2,7,7,Supply,Flight,Europe,1944,Poor Weather
26-Oct-44,Air Force,Lockheed PV-1 Ventura,"Pacific Ocean, All World",5,5,0,0,5,5,Military,Flight,Australia & Oceania,1944,Technical Factors
29-Oct-44,United States AAF,Consolidated B-24 Liberator,"Timor Sea, All World",10,10,0,0,10,10,Military,Flight,Asia,1944,Technical Factors
11-Nov-44,United States AAF,Consolidated B-24 Liberator,"Adriatic Sea, All World",11,11,0,0,11,11,Military,Flight,Europe,1944,Disappeared Without Trace
11-Nov-44,United States AAF,Douglas C-54 Skymaster,"Pacific Ocean, All World",6,6,11,11,17,17,Military,Flight,North America,1944,Technical Factors
13-Nov-44,United States AAF,Douglas C-47 Skytrain (DC-3),"North Sea, All World",4,4,0,0,4,4,Military,Flight,Europe,1944,Disappeared Without Trace
23-Nov-44,United States AAF,Douglas C-47 Skytrain (DC-3),"The Channel, All World",4,4,0,0,4,4,Cargo,Flight,Europe,1944,Poor Weather
27-Nov-44,United States AAF,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",2,2,19,19,21,21,Military,Flight,Asia,1944,Disappeared Without Trace
28-Nov-44,Royal Air Force,Short S.25 Sunderland,"Indian Ocean, All World",10,10,0,0,10,10,Survey / Patrol / Reconnaissance,Flight,Asia,1944,Disappeared Without Trace
7-Dec-44,United States AAF,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",4,4,12,12,16,16,Military,Flight,Asia,1944,Disappeared Without Trace
12-Dec-44,United States NAVY,Martin PBM Mariner,"Pacific Ocean, All World",10,7,0,0,10,7,Survey / Patrol / Reconnaissance,Flight,North America,1944,Human Errors
15-Dec-44,United States AAF,Noorduyn Norseman,"The Channel, All World",2,2,1,1,3,3,Charter / Taxi,Flight,Europe,1944,Conflict Factors
15-Dec-44,Royal Canadian Air Force,Boeing B-17 Flying Fortress,"Atlantic Ocean, All World",5,5,3,3,8,8,Postal,Flight,Europe,1944,Disappeared Without Trace
30-Dec-44,Trans-Canada Airlines,Avro 691 Lancastrian,"Atlantic Ocean, All World",4,4,1,1,5,5,Postal,Flight,North America,1944,Disappeared Without Trace
19-Jan-45,Royal Air Force,Douglas DC-3,"North Sea, All World",3,3,0,0,3,3,Training,Flight,Europe,1945,Disappeared Without Trace
23-Jan-45,United States AAF,Douglas C-47 Skytrain (DC-3),"Ligurian Sea, All World",5,5,0,0,5,5,Military,Flight,Europe,1945,Poor Weather
6-Feb-45,Royal Air Force,Douglas C-47 Skytrain (DC-3),"Atlantic Ocean, All World",4,4,0,0,4,4,Delivery,Flight,North America,1945,Disappeared Without Trace
12-Feb-45,United States AAF,Boeing B-17 Flying Fortress,"Pacific Ocean, All World",12,12,0,0,12,12,Survey / Patrol / Reconnaissance,Flight,Australia & Oceania,1945,Technical Factors
17-Feb-45,United States NAVY,Grumman G-44 Widgeon,"Atlantic Ocean, All World",4,4,0,0,4,4,Military,Flight,North America,1945,Technical Factors
26-Feb-45,United States AAF,Consolidated C-87 Liberator Express,"Pacific Ocean, All World",6,6,4,4,10,10,Military,Flight,Australia & Oceania,1945,Disappeared Without Trace
27-Feb-45,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",9,6,0,0,9,6,Survey / Patrol / Reconnaissance,Landing,Unknown,1945,Human Errors
7-Mar-45,Air Force,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",9,9,0,0,9,9,Survey / Patrol / Reconnaissance,Flight,Unknown,1945,Disappeared Without Trace
9-Mar-45,United States AAF,Curtiss C-46 Commando,"Pacific Ocean, All World",7,7,0,0,7,7,Military,Flight,Unknown,1945,Disappeared Without Trace
10-Mar-45,United States NAVY,Consolidated B-24 Liberator,"Atlantic Ocean, All World",14,14,0,0,14,14,Military,Flight,North America,1945,Disappeared Without Trace
17-Mar-45,United States NAVY,Consolidated PBY-5A Catalina,"Georgetown, All Ascension Island",8,5,0,0,8,5,Survey / Patrol / Reconnaissance,Takeoff,Africa,1945,Human Errors
19-Mar-45,Royal Air Force,Douglas C-47 Skytrain (DC-3),"Coral Sea, All World",4,0,24,0,28,0,Military,Flight,Australia & Oceania,1945,Technical Factors
19-Mar-45,United States NAVY,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",5,5,12,12,17,17,Military,Flight,Asia,1945,Disappeared Without Trace
27-Mar-45,United States AAF,Douglas C-47 Skytrain (DC-3),"Coral Sea, All World",4,4,20,20,24,24,Military,Flight,Australia & Oceania,1945,Disappeared Without Trace
27-Mar-45,Royal Air Force,Consolidated LB-30 Liberator,"Atlantic Ocean, All World",7,7,7,7,14,14,Military,Flight,Europe,1945,Disappeared Without Trace
30-Mar-45,United States NAVY,Martin PBM Mariner,"Pacific Ocean, All World",12,12,0,0,12,12,Bombing,Flight,Unknown,1945,Conflict Factors
5-Apr-45,Royal Air Force,Short S.25 Sunderland,"Atlantic Ocean, All World",12,12,0,0,12,12,Survey / Patrol / Reconnaissance,Flight,Europe,1945,Technical Factors
28-Apr-45,Royal Air Force,Douglas C-47 Skytrain (DC-3),"The Channel, All World",5,5,1,1,6,6,Military,Flight,Europe,1945,Disappeared Without Trace
2-Jun-45,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",8,8,0,0,8,8,Military,Flight,Unknown,1945,Disappeared Without Trace
8-Jun-45,United States AAF,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",4,4,4,4,8,8,Military,Flight,Asia,1945,Disappeared Without Trace
11-Jun-45,United States AAF,Curtiss C-46 Commando,"Pacific Ocean, All World",5,5,0,0,5,5,Military,Flight,Asia,1945,Disappeared Without Trace
13-Jun-45,United States AAF,Curtiss C-46 Commando,"Pacific Ocean, All World",6,6,0,0,6,6,Military,Flight,Unknown,1945,Disappeared Without Trace
18-Jun-45,United States NAVY,Martin PBM Mariner,"Yellow Sea, All World",10,5,0,0,10,5,Survey / Patrol / Reconnaissance,Flight,Asia,1945,Technical Factors
27-Jun-45,Royal Canadian Air Force,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",3,3,0,0,3,3,Training,Flight,North America,1945,Disappeared Without Trace
4-Jul-45,Royal Air Force,Consolidated PB4Y-2 Privateer,"Atlantic Ocean, All World",4,4,11,11,15,15,Military,Flight,Unknown,1945,Disappeared Without Trace
9-Jul-45,United States NAVY,Martin PBM Mariner,"Sargasso Sea, All World",12,12,0,0,12,12,Training,Flight,North America,1945,Technical Factors
1-Aug-45,United States AAF,Boeing B-17 Flying Fortress,"Tyrrhenian Sea, All World",5,1,20,12,25,13,Military,Flight,Europe,1945,Technical Factors
26-Aug-45,United States AAF,Douglas C-47 Skytrain (DC-3),"Coral Sea, All World",2,2,0,0,2,2,Cargo,Flight,Australia & Oceania,1945,Disappeared Without Trace
28-Aug-45,United States AAF,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",5,5,14,14,19,19,Military,Flight,Asia,1945,Poor Weather
16-Sep-45,Royal Air Force,Douglas C-47 Skytrain (DC-3),"Andaman Sea, All World",0,0,0,0,0,0,Military,Flight,Asia,1945,Technical Factors
19-Sep-45,Air Force,Douglas C-47 Skytrain (DC-3),"Celebes Sea, All World",3,0,20,0,23,0,Military,Flight,Asia,1945,Technical Factors
24-Sep-45,Air Force,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",4,4,16,16,20,20,Military,Flight,Australia & Oceania,1945,Poor Weather
26-Sep-45,United States AAF,Curtiss C-46 Commando,"Pacific Ocean, All World",0,0,0,0,0,0,Military,Flight,Unknown,1945,Disappeared Without Trace
7-Oct-45,United States AAF,Boeing B-29 Superfortress,"Pacific Ocean, All World",8,8,0,0,8,8,Military,Flight,Australia & Oceania,1945,Disappeared Without Trace
13-Oct-45,United States AAF,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",6,6,0,0,6,6,Military,Flight,Asia,1945,Disappeared Without Trace
16-Oct-45,United States AAF,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",6,6,11,6,17,12,Military,Flight,Australia & Oceania,1945,Technical Factors
4-Nov-45,PAN AM,Boeing 314 Clipper,"Pacific Ocean, All World",10,0,13,0,23,0,Scheduled Revenue Flight,Flight,North America,1945,Technical Factors
7-Nov-45,Royal Air Force,Avro 683 Lancaster,"The Channel, All World",8,8,0,0,8,8,Survey / Patrol / Reconnaissance,Flight,Europe,1945,Disappeared Without Trace
30-Nov-45,United States NAVY,Consolidated PB4Y-2 Privateer,"Pacific Ocean, All World",8,8,17,17,25,25,Military,Flight,North America,1945,Disappeared Without Trace
5-Dec-45,United States NAVY,Martin PBM Mariner,"Sargasso Sea, All World",13,13,0,0,13,13,Survey / Patrol / Reconnaissance,Flight,North America,1945,Human Errors
11-Dec-45,United States AAF,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",4,4,0,0,4,4,Military,Flight,Asia,1945,Disappeared Without Trace
19-Dec-45,Air Force,Douglas C-47 Skytrain (DC-3),"Timor Sea, All World",4,4,21,21,25,25,Military,Flight,Unknown,1945,Poor Weather
23-Mar-46,BOAC,Avro 691 Lancastrian,"Indian Ocean, All World",5,5,5,5,10,10,Scheduled Revenue Flight,Flight,Asia,1946,Disappeared Without Trace
9-Apr-46,Air Force,Consolidated B-24 Liberator,"Celebes Sea, All World",8,1,2,1,10,2,Military,Flight,Asia,1946,Technical Factors
4-Jul-46,Bristol,Bristol 170 Freighter,"Atlantic Ocean, All World",5,0,0,0,5,0,Delivery,Flight,South America,1946,Technical Factors
6-Oct-46,Royal Air Force,Avro 685 York,"Malacca Strait, All World",6,6,15,15,21,21,Military,Flight,Asia,1946,Poor Weather
22-Oct-46,Royal Air Force,Avro 652 Anson,"North Sea, All World",4,4,0,0,4,4,Training,Flight,Europe,1946,Disappeared Without Trace
2-Nov-46,United States AAF,Douglas C-47 Skytrain (DC-3),"Caribbean Sea, All World",8,8,0,0,8,8,Military,Flight,North America,1946,Disappeared Without Trace
22-Feb-47,United States NAVY,Martin PBM Mariner,"Pacific Ocean, All World",12,9,1,1,13,10,Survey / Patrol / Reconnaissance,Flight,North America,1947,Unknown Reasons
20-Mar-47,Royal Air Force,Avro 683 Lancaster,"Atlantic Ocean, All World",9,7,0,0,9,7,Training,Flight,Europe,1947,Human Errors
18-Apr-47,Royal Air Force,Handley Page H.P.63 Halifax VI,"Atlantic Ocean, All World",9,9,0,0,9,9,Survey / Patrol / Reconnaissance,Flight,Europe,1947,Unknown Reasons
1-Jul-47,Transportes Aéreos Nacionales - TAN Costa Rica,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",2,2,0,0,2,2,Cargo,Flight,South America,1947,Unknown Reasons
3-Jul-47,United States AAF,Douglas C-54 Skymaster,"Sargasso Sea, All World",6,6,0,0,6,6,Military,Flight,North America,1947,Poor Weather
6-Aug-47,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",5,5,15,15,20,20,Military,Flight,North America,1947,Unknown Reasons
16-Aug-47,United States AAF,Boeing B-17 Flying Fortress,"Pacific Ocean, All World",4,0,9,3,13,3,Military,Flight,North America,1947,Technical Factors
14-Oct-47,American International Airlines,Boeing 314 Clipper,"Atlantic Ocean, All World",7,0,62,0,69,0,Charter / Taxi,Flight,North America,1947,Human Errors
25-Jan-48,Société Indochinoise de Transports Aériens - SITA,Bristol 170 Freighter ,"Mediterranean Sea, All World",3,3,2,2,5,5,Delivery,Flight,Europe,1948,Unknown Reasons
30-Jan-48,B-S-A-A,Avro 689 Tudor,"Atlantic Ocean, All World",6,6,25,25,31,31,Scheduled Revenue Flight,Flight,Unknown,1948,Disappeared Without Trace
27-Feb-48,Pullman Airways,Airspeed AS.65 Consul,"Mediterranean Sea, All World",1,1,1,1,2,2,Charter / Taxi,Flight,Africa,1948,Poor Weather
2-Mar-48,Société de Transports Aériens - STA,AAC.1 Toucan,"Mediterranean Sea, All World",3,3,1,1,4,4,Cargo,Flight,Europe,1948,Unknown Reasons
5-Apr-48,Royal Air Force,Vickers 619 Wellington X,"North Sea, All World",3,3,0,0,3,3,Training,Flight,Europe,1948,Unknown Reasons
5-May-48,THE SUPERIOR OIL COMPANY,Douglas C-47 Skytrain (DC-3),"Atlantic Ocean, All World",2,2,0,0,2,2,Private,Flight,Unknown,1948,Unknown Reasons
20-Jul-48,ARMEE DEL'AIR,Douglas C-47 Skytrain (DC-3),"Mediterranean Sea, All World",2,0,18,0,20,0,Military,Flight,Europe,1948,Human Errors
1-Aug-48,AIR FRANCE,Latécoère 631,"Atlantic Ocean, All World",11,11,41,41,52,52,Scheduled Revenue Flight,Flight,Africa,1948,Technical Factors
20-Aug-48,AVENSA,Douglas C-47 Skytrain (DC-3),"Caribbean Sea, All World",3,3,0,0,3,3,Cargo,Flight,South America,1948,Unknown Reasons
5-Dec-48,United States Air Force,Douglas C-54 Skymaster,"Pacific Ocean, All World",7,0,30,4,37,4,Military,Flight,North America,1948,Technical Factors
28-Dec-48,Airborne Transport,Douglas DC-3,"Gulf of Mexico, All World",3,3,29,29,32,32,Charter / Taxi,Flight,North America,1948,Disappeared Without Trace
17-Jan-49,B-S-A-A,Avro 689 Tudor,"Sargasso Sea, All World",7,7,13,13,20,20,Scheduled Revenue Flight,Flight,North America,1949,Disappeared Without Trace
26-Jan-49,United States Air Force,Boeing B-29 Superfortress,"Atlantic Ocean, All World",15,15,0,0,15,15,Military,Flight,Europe,1949,Unknown Reasons
27-Mar-49,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",11,0,0,0,11,0,Military,Flight,Unknown,1949,Technical Factors
27-Apr-49,United States Air Force,Douglas C-47 Skytrain (DC-3),"Atlantic Ocean, All World",4,0,0,0,4,0,Military,Flight,North America,1949,Technical Factors
9-Jul-49,Royal Air Force,Handley Page H.P.70 Halifax VIII,"Atlantic Ocean, All World",4,4,3,3,7,7,Meteorological / Weather,Flight,Europe,1949,Disappeared Without Trace
16-Nov-49,United States Air Force,Boeing B-29 Superfortress,"Atlantic Ocean, All World",20,2,0,0,20,2,Military,Flight,North America,1949,Technical Factors
9-Dec-49,FUERZA AEREA MEXICAA,Douglas C-47 Skytrain (DC-3),"Pacific Ocean, All World",8,8,0,0,8,8,Cargo,Flight,North America,1949,Unknown Reasons
2-Feb-50,KLM,Douglas C-47 Skytrain (DC-3),"North Sea, All World",7,7,0,0,7,7,Cargo,Flight,Europe,1950,Technical Factors
24-May-50,United States NAVY,Lockheed P-2 Neptune,"Pacific Ocean, All World",0,0,0,0,0,0,Training,Flight,North America,1950,Conflict Factors
5-Jun-50,Westair Transport,Curtiss C-46 Commando,"Sargasso Sea, All World",3,0,62,28,65,28,Charter / Taxi,Flight,North America,1950,Technical Factors
7-Jun-50,United States Air Force,Boeing B-29 Superfortress,"North Sea, All World",13,11,0,0,13,11,Survey / Patrol / Reconnaissance,Flight,Europe,1950,Unknown Reasons
16-Jun-50,United States Air Force,Boeing B-29 Superfortress,"East China Sea, All World",0,0,0,0,0,0,Survey / Patrol / Reconnaissance,Flight,Asia,1950,Conflict Factors
23-Jun-50,United States Air Force,Boeing B-29 Superfortress,"Pacific Ocean, All World",11,3,0,0,11,3,Military,Flight,Australia & Oceania,1950,Unknown Reasons
28-Jun-50,United States Air Force,Douglas A-26 Invader,"Yellow Sea, All World",3,2,0,0,3,2,Bombing,Flight,Asia,1950,Technical Factors
12-Jul-50,United States Air Force,Boeing B-29 Superfortress,"Yellow Sea, All World",13,0,0,0,13,0,Military,Flight,Asia,1950,Conflict Factors
15-Oct-50,United States Air Force,Douglas C-47 Skytrain (DC-3),"Japan Sea, All World",4,4,0,0,4,4,Military,Flight,Asia,1950,Technical Factors
5-Nov-50,United States NAVY,Martin PBM Mariner,"South China Sea, All World",12,12,0,0,12,12,Survey / Patrol / Reconnaissance,Flight,Asia,1950,Unknown Reasons
